geoid,land,water
13063,90658.24120429171,1739.145905714554
13065,512141.97921351367,15213.167739926757
13067,217434.49711628273,3088.2484197624826
13069,368285.39559065545,17410.197288762152
13071,350069.4444581725,6179.232293679544
13073,185655.9584467958,11211.926530692932
13075,145409.23407283673,3840.523516998364
13077,282187.59383818565,3145.1421596002824
13079,207944.42950831013,985.6975531646758
13081,174436.77740272705,5371.841872464083
13083,111346.9025367816,115.6066678857188
13085,134929.85079790256,2291.3209253594146
13087,382189.5936602699,16637.523166109033
13089,171279.6266735197,2271.368913182072
13091,317376.77680967463,4617.84321671617
13093,250841.3310566711,3420.203565233292
13095,210321.1643101071,3804.4446805671555
13097,128065.10504440479,621.9646837301018
13099,328059.8140286543,2401.164606633291
13101,265532.20200352866,3728.1751777921645
13103,305738.5998033043,3327.0417064094136
13105,224693.63901889365,14804.508433699213
13107,435588.70086931594,6128.721280202429
13109,117032.15727749415,2564.2765007932076
13111,247750.31827144994,3326.030304977192
13113,124397.70711119237,3169.1689359157467
13115,326286.6728772431,5530.734198860351
13117,143468.87018577365,14687.921005421487
13119,167362.86157662977,3165.738869147932
13121,337071.67309963773,4911.642606860628
13123,272789.8904335707,3021.533732325803
13125,91993.32989033473,456.6115457416367
13127,268445.42040001386,106112.84106690125
13129,227731.61685850265,1415.8634101500916
13131,290880.3917111044,3688.2625047567744
13133,247958.0983775075,12016.724818748362
13135,275485.63997766166,4040.0149745728786
13137,177139.39449350853,1436.8080437672663
13139,251504.93641984154,23243.074630701332
13141,301482.6376499311,4319.336473216271
13143,180585.58734426196,646.5580721843602
13145,296884.0036472722,5807.702762141512
13147,148734.74965775936,15711.771842860884
13149,189440.86353370268,3259.428050389685
13151,203911.56946373236,5051.598770404708
13153,240352.14635544593,2797.040915672892
13155,226791.44769030804,5376.5504613453395
13157,217380.94794482636,2200.998057753419
13159,235623.75718458262,3393.291341929298
13161,211692.6733319166,2961.8640130866893
13163,336951.0583514132,2035.4526719481275
13165,222286.67188882243,3296.0937615830544
13167,193926.48201321517,2292.7743979282704
13169,252120.504786427,945.9099153417711
13171,117439.88623278294,1494.0052287452493
13173,118586.5231315143,9277.980458923708
